Date,Matches,Event,Time,WayPoint,Effort,Lat,Long,Line,Observer,Position
12.12.2011,0,A,7:48:43,1,ON,-22.24841483,-41.23274467,RJ24,Emanuel Ferreira,Bolha direita
12.12.2011,0,A,7:49:17,2,ON,-22.2571715,-41.219027,RJ24,Emanuel Ferreira,Bolha direita
12.12.2011,0,A,8:01:03,3,ON,-22.21653117,-41.37046883,RJ25,Emanuel Ferreira,Bolha direita
12.12.2011,0,A,8:09:27,4,ON,-22.28005583,-41.34411617,RJ26,Emanuel Ferreira,Bolha direita
12.12.2011,0,A,10:32:31,5,ON,-22.09662083,-41.07288333,RJ19,Emanuel Ferreira,Bolha direita
13.12.2011,0,A,9:10:44,6,ON,-21.58938683,-40.97339517,RJ08,Emanuel Ferreira,Bolha direita
12.12.2011,1,A,0.334606481,7,ON,-22.203044,-41.394696,RJ25,Daniel Danilewicz,Esquerda frente
12.12.2011,1,A,0.334733796,8,ON,-22.2004485,-41.399203,RJ25,Daniel Danilewicz,Esquerda frente
12.12.2011,0,A,0.339814815,9,ON,-22.27848591,-41.34658045,RJ26,Daniel Danilewicz,Esquerda frente
12.12.2011,1,A,0.439861111,10,ON,-22.11318783,-41.04537,RJ 19,Daniel Danilewicz,Esquerda frente
12.12.2011,1,A,0.439861111,11,ON,-22.11318783,-41.04537,RJ 19,Daniel Danilewicz,Esquerda frente
12.12.2011,0,A,0.322962963,12,ON,-22.192552,-41.326098,RJ24,Federico Sucunza,Esquerda atras
12.12.2011,0,A,0.349502315,13,ON,-22.23791117,-41.501452,RJ27,Federico Sucunza,Esquerda atras
12.12.2011,0,A,0.349618056,14,ON,-22.235297,-41.505885,RJ27,Federico Sucunza,Esquerda atras
12.12.2011,0,A,0.435219907,15,ON,-22.1340005,-41.089479,RJ20,Federico Sucunza,Esquerda atras
07.01.2012,0,A,8:49:00,16,OFF,-19.71178963,-39.93914977,N,Emanuel Ferreira,Bolha direita
07.01.2012,0,A,8:49:00,17,OFF,-19.71178963,-39.93914977,N,Emanuel Ferreira,Bolha direita
07.01.2012,0,A,8:49:00,18,OFF,-19.71178963,-39.93914977,N,Emanuel Ferreira,Bolha direita
08.01.2012,0,A,6:49:43,19,OFF,-19.49674423,-39.73819725,N,Emanuel Ferreira,Bolha direita
08.01.2012,0,A,9:33:54,20,OFF,-19.94790277,-40.1063498,N,Emanuel Ferreira,Bolha direita
